CPT_LONG_DESCRIPTION|CPT_ADD_NOTE|CPT_CODE|CPT_SHORT_DESCRIPTION
SUPPLY OF RADIOPHARMACEUTICAL THERAPEUTIC IMAGING AGENT, NOT OTHERWISE CLASSIFIED||A9699|RDIOPHRM THRPTC,NOT CLASSIFIED
SUPPLY OF INJECTABLE CONTRAST MATERIAL FOR USE IN ECHOCARDIOGRAPHY, PER STUDY||A9700|INJCTBL CNTRST MAT,ECHOCRDGRPH
MISCELLANEOUS DME SUPPLY, ACCESSORY, AND/OR SERVICE COMPONENT OF ANOTHER HCPCS CODE||A9900|MSC DME SPP,ACCSSRY,&/ANTHR CD
DME DELIVERY, SET UP, AND/OR DISPENSING SERVICE COMPONENT OF ANOTHER HCPCS CODE||A9901|DME DLVRY,SET UP,&/ANTHR CD
ENTERAL FEEDING SUPPLY KIT; SYRINGE, PER DAY||B4034|ENTERAL FEEDING KIT; SYRINGE
ENTERAL FEEDING SUPPLY KIT; PUMP FED, PER DAY||B4035|ENTERAL FEEDING KIT; PUMP FED
ENTERAL FEEDING SUPPLY KIT; GRAVITY FED, PER DAY||B4036|ENTERAL FEEDING KIT; GRAVITY
NASOGASTRIC TUBING WITH STYLET||B4081|NASOGASTRIC TUBING W/ STYLET
NASOGASTRIC TUBING WITHOUT STYLET||B4082|NASOGASTRIC TUBING W/O STYLET
STOMACH TUBE - LEVINE TYPE||B4083|STOMACH TUBE - LEVINE TYPE
GASTROSTOMY/JEJUNOSTOMY TUBE, ANY MATERIAL, ANY TYPE, (STANDARD OR LOW PROFILE), EACH||B4086|GASTROSTOMY/JEJUNOSTOMY TUBE
FOOD THICKENER, ADMINISTERED ORALLY, PER OUNCE||B4100|THICKENER,ADMINISTERED ORALLY
ENTERAL FORMULAE; CATEGORY I; SEMI-SYNTHETIC INTACT PROTEIN/PROTEIN ISOLATES, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UN|IT|B4150|ENTRL FRM;CAT I;SEMI-SYNTH PRT
ENTERAL FORMULAE; CATEGORY I: NATURAL INTACT PROTEIN/PROTEIN ISOLATES, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT||B4151|ENTRL FRM;CAT I:NATRL PRT/ ISL
ENTERAL FORMULAE; CATEGORY II: INTACT PROTEIN/PROTEIN ISOLATES (CALORICALLY DENSE), ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES|1|B4152|ENTRL FRM;CAT II:INTCT PRTN
ENTERAL FORMULAE; CATEGORY III: HYDROLIZED PROTEIN/AMINO ACIDS, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT||B4153|ENTRL FRM;CAT III:HYDRLZD PRT
ENTERAL FORMULAE; CATEGORY IV: DEFINED FORMULA FOR SPECIAL METABOLIC NEED, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT||B4154|ENTRL FRM;CAT IV:DEFND FRM
ENTERAL FORMULAE; CATEGORY V: MODULAR COMPONENTS, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT||B4155|ENTRL FRM;CAT V:MODLR COMP
ENTERAL FORMULAE; CATEGORY VI: STANDARDIZED NUTRIENTS, ADMINISTERED THROUGH AN ENTERAL FEEDING TUBE, 100 CALORIES = 1 UNIT||B4156|ENTRL FRM;CAT VI:STND NUTRNT
PARENTERAL NUTRITION SOLUTION; CARBOHYDRATES (DEXTROSE), 50% OR LESS (500 ML = 1 UNIT) - HOMEMIX||B4164|P.NUTR SOLN: CARBO <=50%-HOME
PARENTERAL NUTRITION SOLUTION; AMINO ACID, 3.5%, (500 ML = 1 UNIT) - HOMEMIX||B4168|P.NUTR SOLN; A.A.3.5% - HOME
PARENTERAL NUTRITION SOLUTION; AMINO ACID, 5.5% THROUGH 7%, (500 ML = 1 UNIT) - HOMEMIX||B4172|P.NUTR SOLN; A.A. 5.5-7%-HOME
PARENTERAL NUTRITION SOLUTION; AMINO ACID, 7% THROUGH 8.5%, (500 ML = 1 UNIT) - HOMEMIX||B4176|P.NUTR SOLN; A.A.7-8.5%-HOME
PARENTERAL NUTRITION SOLUTION; AMINO ACID, GREATER THAN 8.5% (500 ML = 1 UNIT) - HOMEMIX||B4178|P.NUTR SOLN: A.A.> 8.5% -HOME
PARENTERAL NUTRITION SOLUTION; CARBOHYDRATES (DEXTROSE), GREATER THAN 50% (500 ML=1 UNIT) - HOMEMIX||B4180|P.NUTR SOLN; CARBO >50% -HOME
PARENTERAL NUTRITION SOLUTION; LIPIDS, 10% WITH ADMINISTRATION SET (500 ML = 1 UNIT)||B4184|P.NUTR SOLN; LIPIDS 10% W/SET
PARENTERAL NUTRITION SOLUTION, LIPIDS, 20% WITH ADMINISTRATION SET (500 ML = 1 UNIT)||B4186|P.NUTR SOLN, LIPIDS 20% W/SET
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES, TRACE ELEMENTS, AND VITAMINS, INCLUDING PREPARATION,|ANY|B4189|P.NUTR SOLN; 10-51 GM OF PROT
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES, TRACE ELEMENTS, AND VITAMINS, INCLUDING PREPARATION,|ANY|B4193|P.NUTR SOLN; 52-73 GM OF PROT
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES, TRACE ELEMENTS AND VITAMINS, INCLUDING PREPARATION, A|NY|B4197|P.NUTR SOLN; 74-100 GM PROT
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES, TRACE ELEMENTS AND VITAMINS, INCLUDING PREPARATION, A|NY|B4199|P.NUTR SOLN; >100 GM OF PROT
PARENTERAL NUTRITION; ADDITIVES (VITAMINS, TRACE ELEMENTS, HEPARIN, ELECTROLYTES) HOMEMIX PER DAY||B4216|P.NUTR ADDITIVES HOME MIX
PARENTERAL NUTRITION SUPPLY KIT; PREMIX, PER DAY||B4220|PARENTERAL NUTRITION SUPPLY
PARENTERAL NUTRITION SUPPLY KIT; HOME MIX, PER DAY||B4222|PARENTERAL NTRN SUPPLY KIT
PARENTERAL NUTRITION ADMINISTRATION KIT, PER DAY||B4224|PARENTERAL NTRN ADMIN KIT
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES,TRACE ELEMENTS,AND VITAMINS,INCL PREPARATION,ANY STREN|GTH|B5000|P.NUTR SOLN RENAL AMIROSYN RF
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES,TRACE ELEMENTS, AND VITAMINS, INCLUDING PREPARATION, A|NY|B5100|P.NUTR SOLN HEP-FREAMINE HBC
PARENTERAL NUTRITION SOLUTION; COMPOUNDED AMINO ACID AND CARBOHYDRATES WITH ELECTROLYTES, TRACE ELEMENTS, AND VITAMINS, INCLUDING PREPARATION,|ANY|B5200|P.NUTR SOLN: STRESS-BRANCH
ENTERAL NUTRITION INFUSION PUMP - WITHOUT ALARM||B9000|ENTER NTRN INF PUMP-W/O ALARM
ENTERAL NUTRITION INFUSION PUMP - WITH ALARM||B9002|ENTER NUTR INF PUMP - W/ ALARM
PARENTERAL NUTRITION INFUSION PUMP, PORTABLE||B9004|P NUTR INFUSION PUMP, PORTABLE
PARENTERAL NUTRITION INFUSION PUMP, STATIONARY||B9006|P NUTR INF PUMP, STATIONARY
NOC FOR ENTERAL SUPPLIES||B9998|NOC FOR ENTERNAL SUPPLIES
NOC FOR PARENTERAL SUPPLIES||B9999|NOC FOR PARENTER SUPP DURABLE
WHOLE BLOOD OR RED BLOOD CELLS, LEUKOREDUCED, CMV NEGATIVE, EACH UNIT||C1010|BLD/RBC,LEUKOREDUCED,CMV NEG
PLATELET, HLA-MATCHED LEUKOREDUCED, APHERESIS/PHERESIS, EACH UNIT||C1011|PLT,HLA-MTCH LR,APHRS/PHRS, EA
PLATELETS, PHERESIS, LEUKOCYTE-REDUCED, CMV NEGATIVE, IRRADIATED, EACH UNIT||C1015|PLTLTS,PHERES,LEUKOCYTE-RDUCD
WHOLE BLOOD OR RED BLOOD CELLS, LEUKOREDUCED, FROZEN, DEGLYCEROL, WASHED, EACH UNIT||C1016|BLD/RBC,LEUKORED,FROZ,DEGLYC
PLATELET, LEUKOREDUCED, CMV-NEGATIVE, APHERESIS/PHERESIS, EACH UNIT||C1017|PLT,LR,CMV-NG,APHRS/PHRS,EA UN
WHOLE BLOOD, LEUKOREDUCED, IRRADIATED, EACH UNIT||C1018|BLD,LEUKOREDUCED,IRRADIATED
RED BLOOD CELLS, FROZEN/DEGLYCEROLIZED/WASHED, LEUKOCYTE-REDUCED, IRRADIATED, EACH UNIT||C1020|RED BLD CELS,FRZN,LEUKOCYTE
RED BLOOD CELLS, LEUKOCYTE-REDUCED, CMV NEGATIVE, IRRADIATED, EACH UNIT||C1021|RED BLD CELL,LEUKOCYTE-RDCED
PLASMA, FROZEN WITHIN 24 HOURS OF COLLECTION, EACH UNIT||C1022|PLSM,FRZN 24 HRS OF COLLECT
ELECTRODE, NEEDLE, ABLATION, MR COMPATIBLE LEVEEN, MODIFIED LEVEEN NEEDLE ELECTRODE||C1031|ELCTRD,ABL,MR CMP LEVN/MOD NDL
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, CYANOCOBALAMIN CO 57/58, PER 0.5 MICROCURIE||C1079|CO 57/58 PER 0.5 UCI
LASER OPTIC TREATMENT SYSTEM, INDIGO LASEROPTIC TREATMENT SYSTEM||C1088|LASER OPTC TRTMNT SYSTM,INDIGO
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, INDIUM 111 OXYQUINOLINE, PER 0.5 MILLICURIE||C1091|IN111 OXYQUINOLINE,PER0.5MCI
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, INDIUM 111 PENTETATE, PER 0.5 MILLICURIE||C1092|IN 111 PENTETATE PER 0.5 MCI
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC 99M ARCITUMOMAB, PER VIAL||C1122|RAD,TECHNTM TC 99M ARCITMMB/VL
ENDOTRACHEAL TUBE, VETT TRACHEOBRONCHIAL TUBE||C1146|ET, VETT TRACHEOBRONCHIAL TUBE
INJECTION, CYTARABINE LIPOSOME, PER 10 MG||C1166|INJECTION,CYTARABINE LIPOSOME
INJECTION, EPIRUBICIN HYDROCHLORIDE, 2 MG||C1167|INJECTION, EPIRUBICIN HCL,2 MG
BIOPSY DEVICE, BREAST, ABBI DEVICE||C1170|BX DEVICE, BREAST, ABBI DEVICE
BIOPSY DEVICE, 11-GAUGE MAMMOTOME PROBE WITH VACUUM CANNISTER||C1177|BX DVC,11-GAUG MAMMTM PB W VCM
INJECTION, BUSULFAN, PER 6 MG||C1178|INJECTION, BUSULFAN, PER 6MG
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC 99M SODIUM GLUCOHEPTONATE, PER VIAL||C1200|RAD IMG,TECH TC 99M SODM GLCHP
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, TECHNETIUM TC 99M SUCCIMER, PER VIAL||C1201|RAD TECHNT TC 99M SUCCIMR,VIAL
HYPERBARIC OXYGEN UNDER PRESSURE, FULL BODY CHAMBER, PER 30 MINUTE INTERVAL||C1300|HYPRBR OX PRS,FULL BD CHM,30MN
APLIGRAF, PER 44 SQ CM||C1305|APLIGRAF, PER 44 SQ CM
ELECTRODE, DISPOSABLE, PALATE SOMNOPLASTY COAGULATING ELECTRODE, BASE OF TONGUE SOMNOPLASTY COAGULATING ELECTRODE||C1321|ELCTRD,PALATE SOMNPLSTY COAGLT
ELECTRODE, DISPOSABLE, TURBINATE SOMNOPLASTY COAGULATING ELECTRODE||C1322|ELCTRD,TURBNT SOMNPLSTY COAGLT
ELECTRODE, DISPOSABLE, VAPR ELECTRODE, VAPR T THERMAL ELECTRODE||C1323|ELCTRD,VAPR/VAPR T THERMAL
ELECTRODE, DISPOSABLE, LIGASURE DISPOSABLE ELECTRODE||C1324|ELECTRODE,LIGASURE DISPOSABLE
ELECTRODE, DISPOSABLE, GYNECARE VERSAPOINT RESECTOSCOPIC SYSTEM BIPOLAR ELECTRODE||C1329|ELECTRDE,DISP,GYNECRE VERSAPNT
INFUSION SYSTEM, ON-Q PAIN MANAGEMENT SYSTEM, ON-Q SOAKER PAIN MANAGEMENT SYSTEM, AND PAINBUSTER PAIN MANAGEMENT SYSTEM||C1368|INFUSN SYS,ON-Q PAIN MGMT SYST
ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (INPLANTABLE)||C1713|ANCH BNE TO BNE/SFT TIS TO BNE
BRACHYTHERAPY SEED, GOLD 198||C1716|BRACHYTHERAPY SEED, GOLD 198
BRACHYTHERAPY SEED, IODINE 125||C1718|BRACHYTHERAPY SEED, IODINE 125
BRACHYTHERAPY SEED, NON-HIGH DOSE RATE IRIDIUM 192||C1719|BRCHYTHRPY SEED,NON-HDR IR-192
BRACHYTHERAPY SEED, PALLADIUM 103||C1720|BRACHYTHRPY SEED,PALLADIUM 103
ADHESION BARRIER||C1765|ADHESION BARRIER
INJECTION, DARBEPOETIN ALFA (FOR NON ESRD USE), PER 1 MCG||C1774|INJECT,DARBEPOETIN ALFA,/1 MCG
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, FLUORODEOXYGLUCOSE F18 (2-DEOXY-2-[18F]FLUORO-D-GLUCOSE), PER DOSE (4-40 MCI/ML)||C1775|RADIOPHARM,FLURDEOXYGLUCOSE
OCULAR IMPLANT, AQUEOUS DRAINAGE ASSIST DEVICE||C1783|OCULARR IMPLANT,AQUEOUS DRAIN
CATHETER, ABLATION, NON-CARDIAC, ENDOVASCULAR (IMPLANTABLE)||C1888|CATH,ABLATION,NON-CARDIAC,ENDO
LEAD, LEFT VENTRICULAR CORONARY VENOUS SYSTEM||C1900|LFT VENTRIC CRNARY VENOUS SYS
CATHETER, GOLD PROBE SINGLE-USE ELECTROHEMOSTASIS CATHETER||C2600|CTH,GOLD PRB1-USE ELCTRHMSTSIS
PROBE, PERCUTANEOUS LUMBAR DISCECTOMY||C2614|PERCUTANEOUS LUMBAR DISCECTOMY
BRACHYTHERAPY SEED, YTTRIUM-90||C2616|BRACHYTHERAPY SEED, YTTRIUM-90
PROBE, CRYOABLATION||C2618|PROBE, CRYOABLATION
BRACHYTHERAPY SOLUTION, IODINE-125, PER MCI||C2632|BRACHYTHERAPY SOL, IODINE-125
MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, ABDOMEN||C8900|MRA W/CONT, ABD
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, ABDOMEN||C8901|MRA W/O CONT, ABD
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, ABDOMEN||C8902|MRA W/O FOL W/CONT, ABD
MAGNETIC RESONANCE IMAGING WITH CONTRAST, BREAST; UNILATERAL||C8903|MRI W/CONT, BREAST,  UNI
MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST, BREAST; UNILATERAL||C8904|MRI W/O CONT, BREAST, UNI
MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, BREAST; UNILATERAL||C8905|MRI W/O FOL W/CONT, BRST, UN
MAGNETIC RESONANCE IMAGING WITH CONTRAST, BREAST; BILATERAL||C8906|MRI W/CONT, BREAST,  BI
MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST, BREAST; BILATERAL||C8907|MRI W/O CONT, BREAST, BI
MAGNETIC RESONANCE IMAGING WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, BREAST; BILATERAL||C8908|MRI W/O FOL W/CONT, BREAST,
MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, CHEST (EXCLUDING MYOCARDIUM)||C8909|MRA W/CONT, CHEST
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, CHEST (EXCLUDING MYOCARDIUM)||C8910|MRA W/O CONT, CHEST
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, CHEST (EXCLUDING MYOCARDIUM)||C8911|MRA W/O FOL W/CONT, CHEST
MAGNETIC RESONANCE ANGIOGRAPHY WITH CONTRAST, LOWER EXTREMITY||C8912|MRA W/CONT, LWR EXT
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST, LOWER EXTREMITY||C8913|MRA W/O CONT, LWR EXT
MAGNETIC RESONANCE ANGIOGRAPHY WITHOUT CONTRAST FOLLOWED BY WITH CONTRAST, LOWER EXTREMITY||C8914|MRA W/O FOL W/CONT, LWR EXT
INJECTION, SODIUM CHROMATE CR51, PER 0.25 MCI||C9000|INJ,SOD CHROMATE CR51/0.25 MCI
PALIVIZUMAB-RSV-IGM, PER 50 MG||C9003|PALIVIZUMAB-RSV-IGM, PER 50 MG
BACLOFEN INTRATHECAL SCREENING KIT (1 AMP)||C9007|BACLOFN INTRATHECAL SCRN,1 AMP
BACLOFEN INTRATHECAL REFILL KIT, PER 500 MCG||C9008|BACLOFEN INTRATH REFIL/500 MCG
BACLOFEN REFILL KIT, PER 2000 MCG||C9009|BACLOFEN REFILL KIT/2000 MCG
BACLOFEN INTRATHECAL REFILL KIT, PER 4000 MCG||C9010|BACLOFN INTRATH REFIL/4000 MCG
SUPPLY OF CO 57 COBALTOUS CHLORIDE, RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT||C9013|CO 57 COBALTOUS CHLORIDE
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, 51 SODIUM CHROMATE, PER 50 MCI||C9102|SUPP,51 SODIUM CHROMATE/50 MCI
SUPPLY OF RADIOPHARMACEUTICAL DIAGNOSTIC IMAGING AGENT, SODIUM IOTHALAMATE I-125 INJECTION, PER 10 UCI||C9103|SOD IOTHALAM I-125 INJ,/10 UCI
INJECTION, HEPATITIS B IMMUNE GLOBULIN, PER 1 ML||C9105|INJ,HEPATITIS B IMM GLOB/1 ML
INJECTION, TIROFIBAN HYDROCHLORIDE, 6.25 MG||C9109|TIROFIBAN HCL, 6.25 MG
INJECTION, BIVALIRUDIN, 250 MG PER VIAL||C9111|INJ, BIVALIRUDIN, 250MG VIAL
INJECTION, PERFLUTREN LIPID MICROSPHERE, PER 2 ML VIAL||C9112|PERFLUTREN LIPID MICRO, 2ML
INJECTION, PANTOPRAZOLE SODIUM, PER VIAL||C9113|INJ PANTOPRAZOLE SODIUM,VIAL
INJECTION, ERTAPENEM SODIUM, PER 1 GRAM VIAL||C9116|INJCT,ERTAPENEM SODIUM,/1GRAM
INJECTION, PEGFILGRASTIM, PER 6 MG SINGLE DOSE VIAL||C9119|INJCT,PEGFILGRASTIM,/6 MG
INJECTION, FULVESTRANT, PER 50 MG||C9120|INJECTION,FULVESTRANT,/50 MG
INJECTION, ARGATROBAN, PER 5 MG||C9121|INJECTION,ARGATROBAN,/5 MG
ORCEL, PER 36 SQUARE CENTIMETERS||C9200|ORCEL, PER 36 CM2
DERMAGRAFT, PER 37.5 SQUARE CENTIMETERS||C9201|DERMAGRAFT, PER 37.5 SQ CM
FRESH FROZEN PLASMA, DONOR RETESTED, EACH UNIT||C9503|FRESH FROZ PLASMA,DON RETST,EA
STRETTA SYSTEM||C9701|STRETTA SYSTEM
BARD ENDOSCOPIC SUTURING SYSTEM||C9703|BARD ENDOSCOPIC SUTURING SYS
H.E.L.P. APHERESIS SYSTEM||C9711|H.E.L.P. APHERESIS SYSTEM
PERIODIC ORAL EVALUATION||D0120|PERIODIC ORAL EVALUATION
LIMIT ORAL EVAL PROBLM FOCUS||D0140|LIMIT ORAL EVAL PROBLM FOCUS
COMPREHENSIVE ORAL EVALUATION - NEW OR ESTABLISHED PATIENT||D0150|COMPREHENSIVE ORAL EVAL
EXTENSV ORAL EVAL PROB FOCUS||D0160|EXTENSV ORAL EVAL PROB FOCUS
RE-EVALUATION-LIMITED, PROBLEM FOCUSED (ESTABLISHED PATIENT; NOT POST-OPERATIVE VISIT)||D0170|RE-EVAL-LIM,PROB FOCUS(EST PT)
COMPREHENSIVE PERIODONTAL EVALUATION - NEW OR ESTABLISHED PATIENT||D0180|COMPREHENSIVE PERIODONTAL EVAL
INTRAOR COMPLETE FILM SERIES||D0210|INTRAOR COMPLETE FILM SERIES
INTRAORAL PERIAPICAL FIRST F||D0220|INTRAORAL PERIAPICAL FIRST F
INTRAORAL PERIAPICAL EA ADD||D0230|INTRAORAL PERIAPICAL EA ADD
INTRAORAL OCCLUSAL FILM||D0240|INTRAORAL OCCLUSAL FILM
EXTRAORAL FIRST FILM||D0250|EXTRAORAL FIRST FILM
EXTRAORAL EA ADDITIONAL FILM||D0260|EXTRAORAL EA ADDITIONAL FILM
DENTAL BITEWING SINGLE FILM||D0270|DENTAL BITEWING SINGLE FILM
DENTAL BITEWINGS TWO FILMS||D0272|DENTAL BITEWINGS TWO FILMS
DENTAL BITEWINGS FOUR FILMS||D0274|DENTAL BITEWINGS FOUR FILMS
VERTICAL BITEWINGS - 7 TO 8 FILMS||D0277|VERTICAL BITEWINGS - 7-8 FILMS
DENTAL FILM SKULL/ FACIAL BON||D0290|DENTAL FILM SKULL/ FACIAL BON
DENTAL SALIOGRAPHY||D0310|DENTAL SALIOGRAPHY
DENTAL TMJ ARTHROGRAM INCL I||D0320|DENTAL TMJ ARTHROGRAM INCL I
DENTAL OTHER TMJ FILMS||D0321|DENTAL OTHER TMJ FILMS
DENTAL TOMOGRAPHIC SURVEY||D0322|DENTAL TOMOGRAPHIC SURVEY
DENTAL PANORAMIC FILM||D0330|DENTAL PANORAMIC FILM
DENTAL CEPHALOMETRIC FILM||D0340|DENTAL CEPHALOMETRIC FILM
ORAL/FACIAL IMAGES (INCLUDES INTRA AND EXTRAORAL IMAGES)||D0350|ORAL/FACIAL IMAGES (INT & EXT)
BACTERIOLOGIC STUDY||D0415|BACTERIOLOGIC STUDY
CARIES SUSCEPTIBILITY TEST||D0425|CARIES SUSCEPTIBILITY TEST
PULP VITALITY TEST||D0460|PULP VITALITY TEST
DIAGNOSTIC CASTS||D0470|DIAGNOSTIC CASTS
ACCESSION OF TISSUE, GROSS EXAMINATION, PREPARATION AND TRANSMISSION OF WRITTEN REPORT||D0472|ACCESS TISS,GROSS EXM,WRIT RPT
ACCESSION OF TISSUE, GROSS AND MICROSCOPIC EXAMINATION, PREPARATION AND TRANSMISSION OF WRITTEN REPORT||D0473|ACC TISS,GROS&MIC EXM,WRIT RPT
ACCESSION OF TISSUE, GROSS AND MICROSCOPIC EXAMINATION, INCLUDING ASSESSMENT OF SURGICAL MARGINS FOR PRESENCE OF DISEASE, PREPARATION AND TRANS|MIS|D0474|ACC TISS,GROS&MIC,SURG MAR,RPT
PROCESSING AND INTERPRETATION OF CYTOLOGIC SMEARS, INCLUDING THE PREPARATION AND TRANSMISSION OF WRITTEN REPORT||D0480|PROCESS,INTERP,CYTOLG SMRS,RPT
OTHER ORAL PATHOLOGY PROCEDU||D0502|OTHER ORAL PATHOLOGY PROCEDU
UNSPECIFIED DIAGNOSTIC PROCE||D0999|UNSPECIFIED DIAGNOSTIC PROCE
DENTAL PROPHYLAXIS ADULT||D1110|DENTAL PROPHYLAXIS ADULT
DENTAL PROPHYLAXIS CHILD||D1120|DENTAL PROPHYLAXIS CHILD
TOPICAL FLUOR W/ PROPHY CHILD||D1201|TOPICAL FLUOR W/ PROPHY CHILD
TOPICAL FLUOR W/O PROPHY CHI||D1203|TOPICAL FLUOR W/O PROPHY CHI
TOPICAL FLUOR W/O PROPHY ADU||D1204|TOPICAL FLUOR W/O PROPHY ADU
TOPICAL FLUORIDE W/ PROPHY A||D1205|TOPICAL FLUORIDE W/ PROPHY A
NUTRI COUNSEL-CONTROL CARIES||D1310|NUTRI COUNSEL-CONTROL CARIES
TOBACCO COUNSELING||D1320|TOBACCO COUNSELING
ORAL HYGIENE INSTRUCTION||D1330|ORAL HYGIENE INSTRUCTION
DENTAL SEALANT PER TOOTH||D1351|DENTAL SEALANT PER TOOTH
SPACE MAINTAINER FXD UNILAT||D1510|SPACE MAINTAINER FXD UNILAT
FIXED BILAT SPACE MAINTAINER||D1515|FIXED BILAT SPACE MAINTAINER
REMOVE UNILAT SPACE MAINTAIN||D1520|REMOVE UNILAT SPACE MAINTAIN
REMOVE BILAT SPACE MAINTAIN||D1525|REMOVE BILAT SPACE MAINTAIN
RECEMENT SPACE MAINTAINER||D1550|RECEMENT SPACE MAINTAINER
AMALGAM-ONE SURFACE, PRIMARY OR PERMANENT||D2140|AMALGAM-1 SURFACE,PRIM/PERM
AMALGAM-TWO SURFACES, PRIMARY OR PERMANENT||D2150|AMALGAM-2 SURFACES,PRIM/PERM
AMALGAM-THREE SURFACES, PRIMARY OR PERMANENT||D2160|AMALGAM-3 SURFACES,PRIM/PERM
AMALGAM-FOUR OR MORE SURFACES, PRIMARY OR PERMANENT||D2161|AMALGAM-4+SURFACES,PRIM/PERM
RESIN ONE SURFACE- ANTERIOR||D2330|RESIN ONE SURFACE- ANTERIOR
RESIN TWO SURFACES- ANTERIOR||D2331|RESIN TWO SURFACES- ANTERIOR
RESIN THREE SURFACES- ANTERIO||D2332|RESIN THREE SURFACES- ANTERIO
RESIN 4/> SURF OR W/ INCIS AN||D2335|RESIN 4/> SURF OR W/ INCIS AN
RESIN-BASED COMPOSITE CROWN, ANTERIOR||D2390|BASED COMPOSITE CROWN,ANTERIOR
RESIN-BASED COMPOSITE - ONE SURFACE, POSTERIOR||D2391|BASED CMPSTE -1 SURFACE,POSTER
RESIN-BASED COMPOSITE - TWO SURFACES, POSTERIOR||D2392|BASED CMPSTE -2 SURFACE,POSTER
RESIN-BASED COMPOSITE - THREE SURFACES, POSTERIOR||D2393|BASED CMPSTE -3 SURFACE,POSTER
RESIN-BASED COMPOSITE - FOUR OR MORE SURFACES, POSTERIOR||D2394|BASED CMPSTE -4+SURFACE,POSTER
DENTAL GOLD FOIL ONE SURFACE||D2410|DENTAL GOLD FOIL ONE SURFACE
DENTAL GOLD FOIL TWO SURFACE||D2420|DENTAL GOLD FOIL TWO SURFACE
DENTAL GOLD FOIL THREE SURFA||D2430|DENTAL GOLD FOIL THREE SURFA
DENTAL INLAY METALIC 1 SURF||D2510|DENTAL INLAY METALIC 1 SURF
DENTAL INLAY METALLIC 2 SURF||D2520|DENTAL INLAY METALLIC 2 SURF
DENTAL INLAY METL 3/ MORE SUR||D2530|DENTAL INLAY METL 3/ MORE SUR
ONLAY-METALLIC-TWO SURFACES||D2542|ONLAY-METALLIC-TWO SURFACES
DENTAL ONLAY METALLIC 3 SURF||D2543|DENTAL ONLAY METALLIC 3 SURF
DENTAL ONLAY METL 4/ MORE SUR||D2544|DENTAL ONLAY METL 4/ MORE SUR
INLAY PORCELAIN/CERAMIC 1 SU||D2610|INLAY PORCELAIN/CERAMIC 1 SU
INLAY PORCELAIN/CERAMIC 2 SU||D2620|INLAY PORCELAIN/CERAMIC 2 SU
DENTAL ONLAY PORC 3/ MORE SUR||D2630|DENTAL ONLAY PORC 3/ MORE SUR
DENTAL ONLAY PORCELIN 2 SURF||D2642|DENTAL ONLAY PORCELIN 2 SURF
